Deal name masked,Serial #,Customer Name Code,Sector,Execution Status,Nature of Work,Type of Work,BD/KAM Personnel code,Probable Start Date,Probable End Date,Data Delivery Date,Date of PO/LOI,Document Type,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Amount Receivable (Masked),Invoice Status,WO Status (billed)
Scooby-Doo,SDPLDEAL-075,WOCOMPANY_002,Mining,Completed,One time Project,Raw images/videography,OWNER_003,2025-05-31,2025-06-03,2025-09-27,2025-10-29,Purchase Order,264398.08,311989.7344,,0.0,,
Appa,SDPLDEAL-101,WOCOMPANY_038,Powerline,Not Started,Proof of Concept,Powerline Inspection,OWNER_002,2025-08-11,2025-08-15,,2025-07-31,Purchase Order,154150.0,181897.0,,0.0,,Open
Sakura,SDPLDEAL-002,WOCOMPANY_002,Mining,Executed until current month,Monthly Contract,Volumetric survey,OWNER_003,2025-05-01,2026-04-30,2025-12-31,2025-05-16,Purchase Order,2984097.3600000003,3521234.8848,23959.682484,28272.42533112,,Open
Sakura,SDPLDEAL-003,WOCOMPANY_002,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_003,2025-05-20,2025-05-31,,2025-05-08,Purchase Order,184980.0,218276.40000000002,184980.0,151396.26440000001,Not billed yet,Open
SpongeBob,SDPLDEAL-004,WOCOMPANY_032,Powerline,Completed,One time Project,Powerline Inspection,OWNER_003,2025-05-24,2025-06-20,,2025-05-06,LOA/LOI,1132250.2480000001,1336055.29264,1215157.5440800001,1433885.9020144,,Open
Edward Elric,SDPLDEAL-005,WOCOMPANY_008,Renewables,Completed,One time Project,Hydrology,OWNER_003,2025-05-20,2025-05-31,,2025-05-16,Purchase Order,135652.0,160069.36000000002,135652.0,0.0,Fully Billed,Closed
Pumbaa,SDPLDEAL-001,WOCOMPANY_047,Renewables,Ongoing,Annual Rate Contract,Others,OWNER_005,2025-05-19,2025-11-19,,2025-05-15,Purchase Order,3995568.0000000005,4714770.24,3662604.0,2916764.64,Partially Billed,Open
Sakura,SDPLDEAL-006,WOCOMPANY_002,Mining,Executed until current month,Monthly Contract,Topography Survey: RGB,OWNER_003,2025-05-01,2026-04-30,,2025-05-21,Purchase Order,727588.0,858553.8400000001,151417.191804,0.10432872,Partially Billed,Open
Sakura,SDPLDEAL-007,WOCOMPANY_002,Mining,Executed until current month,Monthly Contract,Topography Survey: RGB,OWNER_003,2025-05-20,2026-04-30,,2025-05-22,Purchase Order,2293752.0,2706627.3600000003,1742808.4435720001,830907.2814269599,Partially Billed,Open
Alias_160,SDPLDEAL-008,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-20,2025-05-31,2025-05-28,2025-04-10,Purchase Order,126649.64000000001,149446.57520000002,81360.37000000001,96005.2366,Fully Billed,Closed
Alias_160,SDPLDEAL-009,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-15,2025-05-31,2025-05-30,2025-04-10,Purchase Order,1198053.8,1413703.4840000002,680159.917248,404747.85082464,Fully Billed,Closed
Alias_160,SDPLDEAL-010,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-14,2025-05-31,2025-06-10,2025-04-10,Purchase Order,112652.82,132930.32760000002,112652.82,132930.32760000002,Fully Billed,Closed
Alias_160,SDPLDEAL-011,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-10,2025-05-31,2025-05-20,2025-04-10,Purchase Order,643730.4,759601.8720000001,593662.48,59366.80294,Fully Billed,Closed
Alias_160,SDPLDEAL-012,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-14,2025-06-16,2025-06-17,2025-04-10,Purchase Order,770750.0,909485.0,380158.564,76864.20912399988,Fully Billed,Closed
Alias_160,SDPLDEAL-013,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-15,2025-05-31,2025-05-13,2025-04-10,Purchase Order,214576.80000000002,253200.624,172555.51,17255.624992,Fully Billed,Closed
Alias_160,SDPLDEAL-014,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-09,2025-06-20,2025-05-30,2025-04-10,Purchase Order,250339.6,295400.728,177469.31872,17747.3856896,Fully Billed,Closed
Alias_160,SDPLDEAL-015,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-22,2025-06-20,2025-05-03,2025-04-10,Purchase Order,109791.796,129554.31928,109791.796,10980.4128,Fully Billed,Closed
Alias_160,SDPLDEAL-016,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-25,2025-06-13,2025-05-06,2025-04-10,Purchase Order,210799.50840000002,248743.419912,210799.50840000002,59023.94867600001,Fully Billed,Closed
Alias_160,SDPLDEAL-017,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-25,2025-05-31,2025-05-13,2025-04-10,Purchase Order,62584.9,73850.182,62584.9,6258.268024,Fully Billed,Closed
Alias_160,SDPLDEAL-018,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-28,2025-05-31,2025-05-06,2025-04-10,Purchase Order,260360.58320000002,307225.488176,260353.184,26034.923776000003,Fully Billed,Closed
Alias_160,SDPLDEAL-019,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,2025-06-14,2025-04-10,Purchase Order,157535.13400000002,185891.45812000002,157399.23536000002,-160.23707520000002,Fully Billed,Closed
Alias_160,SDPLDEAL-020,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-02,2025-05-30,2025-06-03,2025-04-10,Purchase Order,227987.85,269025.663,215828.49800000002,21583.244424,Fully Billed,Closed
Mojo Jojo,SDPLDEAL-021,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-31,2025-06-24,2025-04-10,Purchase Order,151275.4108,178504.98474400002,125206.796,0.49328000000000005,Fully Billed,Closed
Mojo Jojo,SDPLDEAL-022,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-31,2025-05-07,2025-04-10,Purchase Order,1164911.55,1374595.6290000002,1138011.7584000002,0.19731199987668,Fully Billed,Closed
Mojo Jojo,SDPLDEAL-024,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-31,2025-06-07,2025-04-10,Purchase Order,371860.36120000004,438795.22621600004,365246.7096,0.34529600000000005,Fully Billed,Closed
Mojo Jojo,SDPLDEAL-023,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-31,2025-06-24,2025-04-10,Purchase Order,440190.74000000005,519425.07320000004,396450.3692,0.715256,Fully Billed,Closed
Alias_160,SDPLDEAL-025,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-07,2025-06-15,2025-07-10,2025-04-10,Purchase Order,170274.09,200923.42620000002,170274.09,200923.42620000002,Fully Billed,Closed
Tanjiro,SDPLDEAL-026,WOCOMPANY_005,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,2025-06-11,2025-04-10,Purchase Order,183130.2,216093.636,179510.758,193871.00204000002,Fully Billed,Closed
Tanjiro,SDPLDEAL-027,WOCOMPANY_005,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,2025-06-16,2025-04-10,Purchase Order,937848.6000000001,1106661.348,937848.6000000001,1106661.348,Fully Billed,Closed
Tanjiro,SDPLDEAL-028,WOCOMPANY_005,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,2025-06-16,2025-04-10,Purchase Order,355161.60000000003,419090.688,336437.9244,396996.75079200004,Fully Billed,Closed
Tanjiro,SDPLDEAL-029,WOCOMPANY_005,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,2025-06-13,2025-04-10,Purchase Order,358830.86328000005,423420.41867040005,358830.37,423419.83660000004,Fully Billed,Closed
Armin,SDPLDEAL-030,WOCOMPANY_020,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-15,2025-05-30,2025-05-09,2025-04-10,Purchase Order,135488.711988,159876.68014584002,135489.2176,0.295968,Fully Billed,Closed
Armin,SDPLDEAL-031,WOCOMPANY_020,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-15,2025-05-30,2025-05-09,2025-04-10,Purchase Order,236813.8624,279440.357632,236813.8624,274702.403232,Fully Billed,Closed
Armin,SDPLDEAL-032,WOCOMPANY_020,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-15,2025-05-30,2025-05-09,2025-04-10,Purchase Order,382095.92120000004,450873.18701600004,382095.92120000004,-0.764584,Fully Billed,Closed
Jessie,SDPLDEAL-033,WOCOMPANY_043,Mining,Completed,Annual Rate Contract,Topography Survey: RGB,OWNER_001,2025-04-21,2025-05-31,2025-06-15,2025-04-10,Purchase Order,755939.268,892008.33624,545913.71592,260865.7487815999,Partially Billed,Closed
Naruto,SDPLDEAL-034,WOCOMPANY_001,Renewables,Completed,One time Project,Hydrology,OWNER_003,2025-05-27,2025-06-30,,2025-05-27,Purchase Order,308300.0,363794.0,308300.0,242940.40000000002,Fully Billed,Closed
Inosuke,SDPLDEAL-035,WOCOMPANY_045,Railways,Ongoing,Proof of Concept,Road/rail survey,OWNER_003,2025-06-01,2025-06-30,,2025-05-13,LOA/LOI,1.2332,1.455176,,0.0,,Open
Alias_162,SDPLDEAL-037,WOCOMPANY_052,Mining,Completed,Annual Rate Contract,Topography Survey: RGB,OWNER_001,2025-06-04,2025-06-30,2025-06-18,2025-04-25,Purchase Order,2250751.5492000002,2655886.828056,2158261.91916,2546749.0646088,Partially Billed,Open
Alias_162,SDPLDEAL-038,WOCOMPANY_052,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-06-12,2025-06-30,2025-06-22,2025-04-10,Purchase Order,476015.2,561697.936,476382.69360000006,-0.443952,Fully Billed,Closed
Alphonse,SDPLDEAL-040,WOCOMPANY_009,Renewables,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-06-16,2025-07-04,2025-09-23,2025-06-11,Purchase Order,1426208.132,1682925.59576,,0.0,Not billed yet,Open
Alphonse,SDPLDEAL-041,WOCOMPANY_009,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_001,2025-06-02,2025-06-13,2025-06-11,2025-06-11,Purchase Order,443952.0,523863.36000000004,443952.0,0.0,Fully Billed,Closed
Alphonse,SDPLDEAL-042,WOCOMPANY_009,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_001,2025-06-02,2025-06-11,,2025-06-11,Purchase Order,881738.0,1040450.8400000001,881738.0,145347.4184,Fully Billed,Closed
Erwin,SDPLDEAL-043,WOCOMPANY_021,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-06-16,2025-06-23,2025-06-15,2025-04-10,Purchase Order,16648.2,19644.876,16648.2,19644.876,Fully Billed,Closed
Tanjiro,SDPLDEAL-044,WOCOMPANY_005,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-06-14,2025-06-23,2025-07-02,2025-04-10,LOA/LOI,12774.7188,15074.168184000002,12774.7188,-0.46861600000000003,Fully Billed,Closed
Tanjiro,SDPLDEAL-046,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-22,2025-06-22,2025-05-05,2025-04-10,Purchase Order,390952.7636,461324.2610480001,390887.40400000004,-0.49328000000000005,Fully Billed,Closed
Tanjiro,SDPLDEAL-047,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-15,2025-06-16,2025-05-26,2025-04-10,Purchase Order,476539.31000000006,562316.3858,469116.74086,46911.85166680001,Fully Billed,Closed
Tanjiro,SDPLDEAL-048,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-14,2025-06-30,2025-05-13,2025-04-10,Purchase Order,145842.48654,172094.13411720004,145842.48654,14584.3793732,Fully Billed,Closed
Tanjiro,SDPLDEAL-049,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-21,2025-07-21,2025-06-10,2025-04-10,Purchase Order,707388.184,834718.05712,707388.184,70738.32512000001,Fully Billed,Closed
Timon,SDPLDEAL-050,WOCOMPANY_046,Renewables,Completed,Proof of Concept,"Videography for construction monitoring, Topography Survey: RGB",OWNER_001,2025-06-23,2025-08-10,,2025-06-20,Email Confirmation,1.2332,1.455176,,0.0,,Open
Alphonse,SDPLDEAL-051,WOCOMPANY_009,Renewables,Completed,One time Project,Others,OWNER_005,2025-01-01,2025-06-20,,2025-06-17,Purchase Order,2466400.0,2910352.0,2466400.0,0.0,Fully Billed,Closed
Mr. Krabs,SDPLDEAL-053,WOCOMPANY_031,Mining,Executed until current month,Monthly Contract,LiDAR Survey: LiDAR,OWNER_004,2025-05-15,2025-05-19,,2025-01-21,Purchase Order,184980.0,218276.40000000002,184980.0,218276.40000000002,Fully Billed,Closed
Mojo Jojo,SDPLDEAL-054,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-06-04,2025-06-11,2025-01-23,2025-05-14,Purchase Order,65976.2,77851.916,65967.56760000001,0.0,Fully Billed,Closed
Asuna,SDPLDEAL-055,WOCOMPANY_018,Mining,Executed until current month,Monthly Contract,Videography for construction monitoring,OWNER_001,,,,2023-04-11,Purchase Order,1775808.0,2095453.4400000002,369960.0,212118.761096,Partially Billed,Open
Sakura,SDPLDEAL-056,WOCOMPANY_002,Mining,Completed,One time Project,Raw images/videography,OWNER_008,2025-05-08,,,2025-02-28,Purchase Order,30830.000000000004,36379.4,30830.000000000004,36379.4,Fully Billed,Closed
Asuna,SDPLDEAL-057,WOCOMPANY_018,Mining,Executed until current month,Monthly Contract,Videography for construction monitoring,OWNER_001,,,,2024-07-12,Purchase Order,665928.0,785795.04,110988.0,49573.406800000004,Partially Billed,Open
Gohan,SDPLDEAL-058,WOCOMPANY_026,Construction,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_001,,,,2025-03-28,Purchase Order,1514246.28,1786810.6104000001,1514246.28,151424.628,Fully Billed,Closed
